OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00056840,18.24324324,13.67,7.56,0.54,0.00,9.46,1.61
E00056841,4.032258065,4.50,9.42,0.69,0.00,6.45,0.69
E00056842,4,5.85,10.24,0.00,0.00,1.60,0.00
E00056843,1.408450704,6.49,12.06,0.00,0.00,5.63,1.62
E00056845,16.23931624,7.51,8.96,0.34,0.00,4.27,0.00
E00056846,7.784431138,6.90,3.49,0.00,0.00,26.95,8.05
E00056847,5.031446541,21.04,6.45,1.22,13.41,23.27,3.96
E00056848,16.07142857,18.29,10.13,1.17,0.00,12.50,2.72
E00056849,19.6969697,23.02,2.70,1.80,0.00,10.61,3.24
E00056850,19.82758621,6.82,2.94,0.00,0.00,12.07,0.97
E00056851,6.015037594,5.05,6.45,0.00,0.00,22.56,1.01
E00056852,11.16751269,9.31,6.31,0.24,0.00,5.58,0.00
E00056853,3.90625,4.92,5.20,0.66,0.00,8.59,1.31
E00056854,17.11711712,5.91,12.23,0.00,0.00,5.41,0.79
E00056855,20.75471698,10.34,7.46,0.00,0.00,7.55,0.86
E00056856,16.36363636,4.47,4.90,0.00,0.00,6.36,0.00
E00056858,14.42307692,5.67,9.93,0.00,0.00,10.58,1.62
E00056859,22,7.91,8.33,0.00,0.00,10.00,1.58
E00056861,3.305785124,5.56,12.18,0.74,0.00,4.13,0.74
E00056862,6.18556701,9.85,7.51,0.25,0.00,4.64,1.01
E00056863,1.652892562,4.53,8.70,0.82,0.00,4.13,0.82
E00056864,0.757575758,7.89,16.78,0.00,0.00,3.03,0.33
E00056865,6.870229008,3.44,8.05,0.00,0.00,2.29,0.69
E00056866,0.819672131,10.70,5.74,0.82,0.00,1.64,0.00
E00056867,4.237288136,1.66,7.41,0.00,0.00,1.69,0.00
E00056868,3.759398496,8.01,8.14,0.64,0.00,3.76,1.28
E00056869,4.511278195,9.34,9.78,0.90,0.00,6.02,0.90
E00056871,14.5631068,6.48,7.23,0.46,0.00,5.83,0.93
E00056873,9.836065574,0.92,10.66,0.00,0.00,3.28,0.00
E00056874,14.54545455,6.36,3.24,0.00,0.00,11.36,1.71
E00056875,1.709401709,8.03,6.67,0.00,2.41,35.90,3.61
E00056876,9.282700422,8.35,4.31,0.76,0.00,13.08,2.03
E00056877,3.571428571,18.11,6.31,5.12,9.45,3.57,0.00
E00056878,7.438016529,5.81,5.26,0.32,0.00,6.61,2.90
E00056879,7.317073171,5.32,5.96,0.00,0.00,7.32,1.90
E00056880,10.83333333,3.13,5.63,0.39,0.00,10.83,0.78
E00056881,9.174311927,12.00,5.66,1.14,0.00,10.09,3.43
E00056882,4,9.00,4.76,0.35,3.11,22.00,2.42
E00056883,6.857142857,22.38,7.78,0.70,0.00,9.14,7.69
E00056884,10.56338028,5.63,2.48,1.69,4.79,16.90,4.23
E00056885,15.74074074,7.25,10.74,0.00,6.16,12.04,2.17
E00056886,2.97029703,27.70,7.41,0.00,0.00,18.81,2.03
E00056887,3.184713376,2.64,9.20,0.00,0.00,1.91,1.20
E00056888,18.48739496,7.39,5.33,0.99,0.00,8.40,2.46
E00056889,9.722222222,3.70,4.91,0.00,0.00,13.89,4.38
E00056890,1.62601626,3.41,8.52,0.00,0.00,22.76,0.76
E00056891,4.901960784,15.42,1.41,1.40,0.00,14.71,3.74
E00056892,21.62162162,6.23,11.11,0.00,0.00,10.81,1.38
E00056893,16.77852349,3.38,4.71,0.00,0.00,7.38,2.15
E00056894,7.643312102,7.37,4.35,0.49,0.00,36.31,9.09
E00056895,4.310344828,20.11,10.81,2.72,0.00,18.97,1.09
E00056897,6.060606061,17.00,8.26,4.05,10.53,12.12,3.64
E00056898,5.691056911,9.03,5.31,0.97,0.00,6.50,8.06
E00056899,7.692307692,7.93,3.07,0.69,0.00,15.38,6.55
E00056900,8.490566038,7.58,3.13,1.52,0.00,22.64,4.55
E00056901,3.03030303,12.32,4.11,0.99,0.00,14.39,1.48
E00056902,31.00775194,4.42,8.74,0.00,0.00,13.95,1.70
E00056903,6.703910615,5.90,6.36,0.00,0.00,18.44,5.66
E00056904,1.030927835,7.32,5.59,4.53,20.21,2.06,2.09
E00056905,5.46875,13.18,5.51,0.39,0.00,3.91,1.16
E00056906,9.74025974,10.65,7.48,0.00,0.00,12.99,1.18
E00056907,3.968253968,12.34,5.94,0.43,0.00,10.32,1.70
E00056908,3.96039604,11.30,4.35,0.00,0.00,6.93,0.00
E00056909,14.11042945,1.82,4.24,0.00,0.00,7.98,2.08
E00056910,12.14953271,10.28,8.79,0.47,0.00,8.41,1.40
E00056911,7.476635514,10.91,9.89,0.45,0.00,6.54,0.00
