OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00057123,9.322033898,4.81,6.04,0.74,0.00,3.39,0.37
E00057124,15.43624161,8.16,0.91,0.29,0.00,26.17,6.71
E00057125,17.21311475,8.06,3.60,1.19,0.00,16.39,6.57
E00057126,24,9.52,6.38,0.30,0.00,9.60,3.57
E00057127,21.875,10.77,5.75,0.00,0.00,12.50,1.68
E00057128,3.50877193,7.52,10.27,0.00,0.00,2.63,0.75
E00057129,7.766990291,21.00,8.97,0.91,0.00,2.91,0.00
E00057130,19.28571429,12.81,5.50,0.00,0.00,9.29,2.50
E00057131,17.05426357,8.95,5.88,0.00,0.00,13.18,2.56
E00057132,17.64705882,11.33,7.77,1.00,0.00,5.88,1.33
E00057133,17.03703704,9.63,8.16,0.37,0.00,11.85,1.85
E00057134,16.27906977,8.06,2.83,0.25,0.00,13.95,2.52
E00057135,15.03759398,12.50,13.01,0.58,0.00,10.53,1.45
E00057136,6.015037594,5.50,12.90,0.31,0.00,2.26,0.92
E00057137,17.5,5.99,5.04,0.32,0.00,14.17,3.15
E00057138,9.219858156,25.77,6.45,3.37,13.80,12.77,5.52
E00057139,6.976744186,4.06,16.56,0.31,0.00,10.85,0.63
E00057140,17.98561151,11.42,6.12,0.00,0.00,17.99,3.40
E00057141,15.625,8.86,4.55,0.32,0.00,25.00,8.23
E00057142,21.62162162,12.50,4.69,0.52,0.00,8.11,1.04
E00057144,21.42857143,10.08,5.15,0.00,0.00,7.14,0.40
E00057145,11.9047619,10.72,5.37,0.80,0.00,10.12,5.90
E00057146,2.325581395,30.77,8.45,0.96,0.00,7.75,0.00
E00057147,24.19354839,14.57,11.34,0.00,0.00,12.10,0.40
E00057148,12.78195489,6.32,8.33,0.37,0.00,10.53,4.46
E00057149,23.25581395,9.54,4.17,0.00,0.00,13.95,3.89
E00057150,14.28571429,10.00,7.69,0.43,0.00,9.82,3.04
E00057151,26.35135135,8.73,4.10,0.00,0.00,14.19,3.49
E00057152,9.589041096,3.70,13.75,0.53,0.00,5.48,4.76
E00057153,1.829268293,18.39,8.39,3.55,0.00,15.24,0.00
E00057154,19.04761905,10.88,4.65,0.34,0.00,16.67,2.38
E00057155,21.16788321,6.21,3.60,0.00,0.00,10.95,3.45
E00057156,9.230769231,9.64,10.66,0.40,0.00,7.69,0.00
E00057157,18.97810219,7.37,8.00,0.35,0.00,8.03,3.16
E00057158,14.39393939,16.67,6.03,0.71,0.00,12.12,2.13
E00057159,28.97196262,8.30,7.29,0.00,0.00,6.54,1.04
E00057160,9.836065574,10.22,9.29,0.00,0.00,7.38,0.64
E00057161,16.15384615,11.36,7.27,0.38,0.00,13.85,3.03
E00057162,19.13043478,10.62,3.77,0.34,0.00,11.30,3.08
E00057163,18.8976378,9.06,6.31,0.60,0.00,10.24,5.74
E00057164,5.072463768,24.90,3.75,1.17,0.00,5.80,1.17
E00057165,27.02702703,9.33,5.68,0.00,0.00,9.91,8.21
E00057166,17.03703704,8.36,7.76,0.64,0.00,7.41,0.00
E00057167,15.90909091,16.79,19.44,0.00,0.00,9.09,0.38
E00057169,6.010928962,10.24,6.90,0.34,0.00,22.40,9.90
E00057170,6.341463415,12.63,12.67,0.76,0.00,6.34,0.51
E00057171,15.56886228,11.30,11.03,0.28,0.85,16.17,5.93
E00057172,14.83870968,11.26,10.24,0.00,0.00,9.68,0.79
E00057173,8.227848101,20.91,5.56,1.90,0.00,8.86,5.32
E00057175,2.97029703,17.75,4.83,0.34,0.00,10.89,5.80
E00057176,25.80645161,7.17,5.17,0.00,0.00,15.05,7.17
E00057177,10.92896175,8.01,4.44,0.00,0.00,15.30,8.56
E00057178,15.23178808,7.48,11.64,0.55,0.00,11.26,3.05
E00057179,10.71428571,3.41,6.36,0.00,0.00,7.14,1.87
E00057180,22.22222222,10.26,6.41,0.43,0.00,11.11,2.56
E00057181,0,32.06,7.14,0.48,0.00,4.32,0.00
E00057182,4.411764706,19.46,16.88,0.00,0.00,13.24,1.36
E00057183,7.142857143,14.72,6.98,0.00,0.00,12.50,1.52
E00057184,8.75,9.69,14.55,0.00,0.00,2.50,0.00
E00057185,15.68627451,12.30,3.41,0.00,0.00,4.90,0.79
E00057186,0.769230769,14.57,9.82,2.76,0.00,4.62,1.57
E00057187,7.189542484,5.63,11.88,0.00,0.00,9.15,0.28
E00057188,24,6.19,7.55,0.34,0.00,15.20,2.75
E00057189,15.92356688,7.55,7.14,0.00,0.00,14.01,7.23
E00057190,15.32258065,8.61,2.54,0.00,0.00,14.52,0.37
E00057191,8.695652174,10.29,8.21,1.23,0.00,4.35,0.41
E00057192,3.759398496,5.81,5.41,0.00,0.00,3.76,1.16
E00057193,2.127659574,2.33,2.76,0.00,0.00,2.13,0.39
E00057194,18.5840708,12.06,5.22,1.17,0.00,10.62,0.39
E00057195,4.379562044,6.88,6.29,1.56,0.00,5.84,1.25
E00057196,14,6.04,3.23,0.38,0.00,4.00,1.89
E00057197,4.310344828,4.93,8.72,0.35,0.00,0.86,0.35
E00057198,5,7.82,4.95,1.71,3.91,5.00,2.69
E00057199,26.47058824,8.06,5.45,0.30,0.00,9.56,0.90
E00057200,22.22222222,8.10,5.63,0.51,0.00,12.35,3.54
E00057202,24,11.44,3.88,0.54,0.00,8.67,2.72
E00057204,15.49295775,10.91,3.82,0.22,0.00,15.96,4.45
E00057205,3.246753247,4.66,4.02,0.62,0.00,3.90,1.55
E00057206,16.12903226,10.34,5.38,0.43,0.00,21.77,4.31
E00057207,6.818181818,3.57,2.37,0.00,0.00,15.15,0.45
E00057208,7.90960452,8.52,2.17,0.00,0.00,22.03,3.89
E00057209,9.401709402,8.81,5.81,0.94,0.00,5.98,8.49
E00057210,4.371584699,5.84,2.49,0.25,0.00,4.92,3.30
E00057211,11.11111111,6.37,6.87,0.32,0.00,16.34,4.46
E00057212,5.633802817,6.37,5.03,0.00,0.00,23.24,6.74
E00057213,7.471264368,5.39,2.46,0.00,0.00,16.09,4.58
E00057214,16.81415929,8.60,3.03,0.00,0.00,9.73,4.66
E00057215,9.836065574,7.10,2.13,0.00,0.00,13.93,8.02
E00057216,16,8.99,3.13,0.00,0.00,6.67,3.00
E00057217,18.12080537,8.16,3.82,0.47,0.00,11.41,8.16
E00057218,16.08391608,11.73,1.05,0.31,0.00,18.18,4.01
E00057220,23.4375,6.88,4.46,0.00,0.00,11.98,7.10
E00057221,7.100591716,11.11,3.87,1.01,0.00,13.61,3.70
E00057222,14.41441441,7.05,3.92,0.00,0.00,22.07,6.84
E00057223,21.02272727,9.85,5.38,0.00,1.01,18.75,3.79
E00057225,10.3030303,8.23,4.19,0.18,0.00,11.52,17.69
E00057226,21.42857143,13.80,6.03,0.92,0.00,14.94,1.84
E00057227,2.339181287,2.62,6.82,0.00,0.00,13.45,0.87
E00057228,1.142857143,8.36,2.39,0.96,0.00,0.57,0.00
E00057229,3.875968992,6.44,3.75,0.00,0.00,2.33,0.00
E00057230,2.739726027,3.33,4.52,1.11,0.00,6.85,0.74
E00057231,2.906976744,3.95,6.47,0.53,0.00,2.91,1.05
E00057232,2.02020202,6.43,2.89,1.67,4.29,20.20,0.48
E00057233,6.451612903,8.84,3.65,1.20,4.82,3.23,1.20
E00057234,3.225806452,16.38,2.73,4.78,12.97,9.68,1.37
E00057235,3.571428571,2.40,3.94,0.34,0.00,2.86,0.00
E00057236,3.100775194,6.56,4.32,0.33,0.00,6.20,3.93
E00057238,2.339181287,6.29,2.96,0.00,0.00,12.87,0.66
E00057239,4.958677686,5.37,3.01,0.00,0.00,2.48,0.67
E00057240,2.608695652,17.51,3.06,2.26,0.00,10.43,2.26
E00057241,21.89781022,8.39,6.14,0.00,0.00,13.14,1.24
E00057242,19.60784314,7.72,4.55,0.00,0.00,8.82,1.40
E00057244,3.636363636,1.78,1.19,0.00,0.00,10.00,0.89
E00057245,18.05555556,13.91,7.26,0.58,0.00,9.03,1.74
E00057246,0.78125,32.45,12.50,0.00,0.00,9.38,1.32
E00057247,6.71641791,7.07,2.73,0.35,0.00,3.73,0.35
E00057248,14.39393939,16.49,5.61,0.72,0.00,7.58,1.43
E00057249,7.627118644,6.57,5.45,0.35,0.00,1.69,1.73
E00057250,13.04347826,17.50,3.66,0.83,0.00,13.04,3.33
E00057251,8.955223881,6.83,5.49,0.00,0.00,0.75,1.37
E00057252,3.448275862,5.40,1.95,0.32,2.22,8.28,0.95
E00057253,3.355704698,7.48,4.55,0.62,0.00,4.70,4.67
E00057254,15.38461538,10.60,1.96,0.00,0.00,14.20,4.62
E00057255,14.45086705,5.71,3.53,0.44,0.00,19.65,5.93
E00057256,6.666666667,8.10,2.53,0.00,0.00,31.43,5.24
E00057257,13.46153846,13.21,5.71,1.13,0.00,21.15,2.64
E00057258,14.16666667,4.96,6.20,0.41,0.00,16.67,5.37
E00057259,21.91780822,6.12,4.41,0.00,0.00,13.70,2.55
E00057261,5.405405405,7.39,6.73,0.49,0.00,10.81,4.93
E00057262,3.846153846,8.66,12.43,0.56,0.00,3.21,0.28
E00057264,4.666666667,9.41,3.97,0.00,0.00,49.33,11.76
E00057265,18.29268293,11.25,7.19,0.61,0.00,7.93,0.61
E00057266,16.66666667,3.05,3.60,0.00,0.00,32.54,11.93
E00057267,7.382550336,5.19,7.74,0.00,0.00,14.09,2.60
E00057268,13.58024691,12.77,9.52,0.53,0.00,6.17,3.72
E00057269,18.30985915,16.38,6.00,0.56,0.00,15.49,2.82
E00057270,17.05426357,9.38,5.04,0.27,0.00,10.08,1.88
E00057271,10.75268817,9.13,4.23,0.00,0.00,17.20,1.44
E00057272,18.4,8.40,2.56,0.00,0.00,12.80,1.40
E00057273,9.923664122,8.15,3.85,0.63,0.00,11.45,6.27
E00057274,8.955223881,20.00,5.19,0.80,0.00,5.97,1.20
E00057275,13.48314607,11.00,3.33,0.00,0.00,17.98,2.39
E00057276,12.58741259,6.95,7.14,0.33,0.00,11.89,3.64
E00057277,4.854368932,13.68,5.81,0.53,0.00,16.50,4.74
E00057278,10.37735849,9.72,3.06,0.00,5.09,20.75,5.56
E00057280,8.536585366,10.22,3.30,0.00,0.00,47.56,2.69
E00057281,11.19402985,10.09,3.70,0.32,0.32,19.40,7.57
E00057282,8.695652174,7.76,6.25,0.43,0.00,12.17,8.62
E00057283,20.65217391,8.27,1.52,0.00,0.00,26.09,9.77
E00057284,7.207207207,6.50,6.78,0.00,2.03,26.13,3.66
E00057285,5.421686747,6.48,7.95,0.00,0.00,24.10,1.13
E00057286,5.813953488,5.65,11.54,0.00,0.00,2.33,2.17
E00057287,3.896103896,8.39,2.42,0.44,0.00,37.01,13.47
E00057288,11,4.96,7.81,0.83,0.00,5.00,1.65
E00057289,5.93220339,19.06,10.00,7.46,20.17,4.24,1.10
E00057290,7.194244604,8.77,5.00,0.00,0.00,32.37,11.53
E00057291,11.11111111,6.51,8.42,0.00,0.00,26.85,13.61
E00057292,16.66666667,5.36,8.51,0.00,0.71,31.37,9.64
E00057293,7.518796992,7.91,6.45,0.00,0.00,24.81,10.28
E00057294,6.25,6.03,3.13,0.00,0.00,27.08,13.12
E00057295,2.857142857,24.30,5.13,3.27,0.00,28.57,5.14
E00057296,14.58333333,3.90,5.26,0.00,0.00,47.92,10.58
E00057297,13.7254902,7.56,0.00,0.00,0.00,9.80,10.47
E00057298,9.016393443,4.33,4.55,1.00,0.00,23.77,11.67
E00057300,5.319148936,12.36,1.55,0.00,0.00,12.77,5.24
E00057303,16.50485437,6.80,4.95,0.00,0.00,11.65,1.60
E00057304,20.49180328,20.82,7.55,4.40,13.78,18.03,1.17
E00057305,18.81188119,13.89,9.84,3.70,0.00,9.90,1.85
E00057307,11.39240506,10.26,5.62,1.03,0.00,10.13,2.56
E00057309,11.65644172,10.14,7.91,0.00,0.00,10.43,4.51
E00057310,20.58823529,6.51,6.06,0.00,0.00,11.03,0.98
E00057311,0,36.27,3.23,5.88,0.00,7.04,4.90
E00057312,0,33.69,2.44,1.07,0.00,13.42,1.60
E00057313,8.762886598,5.57,7.41,0.00,0.00,24.23,8.20
E00057315,7.826086957,9.78,10.83,0.44,4.00,8.70,2.22
E00057316,10.07194245,3.52,4.82,0.00,0.00,7.91,0.78
E00057321,5.531914894,10.22,5.38,0.24,0.00,41.70,3.41
E00057322,9.090909091,9.65,0.95,0.00,0.00,22.73,7.34
E00057323,13.37579618,6.49,2.34,0.32,1.95,25.48,4.87
E00057325,3.973509934,27.78,6.98,3.70,0.00,4.64,1.85
E00057326,6.578947368,7.79,6.67,0.00,0.00,9.21,2.60
E00057327,6.172839506,16.13,4.26,0.81,0.00,23.46,3.23
E00057328,9.523809524,13.82,5.83,0.36,0.00,18.37,4.00
E00057329,8.396946565,7.66,3.19,0.00,0.00,25.19,6.31
E00057330,14.9122807,12.10,1.37,0.00,0.00,19.30,7.66
E00057331,16.09195402,9.95,8.86,0.00,0.00,10.34,2.99
E00057332,8.510638298,21.96,1.72,4.21,17.29,23.40,3.27
E00057333,10.73825503,10.55,3.20,0.00,0.00,14.77,4.30
E00057334,0.862068966,4.89,8.02,0.65,0.00,0.00,0.65
E00057335,5.555555556,5.32,8.62,0.56,0.00,0.79,2.52
E00057336,3.076923077,6.71,8.28,0.67,0.00,1.54,0.00
E00057337,6.25,5.28,4.76,0.35,0.00,1.56,0.00
E00057338,7.874015748,11.68,6.72,0.73,0.00,9.45,2.19
E00057339,4.255319149,6.41,9.04,0.32,0.00,0.00,0.00
E00057340,10.48387097,9.23,6.98,1.85,0.00,8.06,1.85
E00057341,1.515151515,2.51,4.96,0.36,0.00,6.82,0.00
E00057342,2.521008403,7.81,6.30,1.49,0.00,0.84,0.74
E00057343,6,4.80,5.64,0.60,0.00,3.33,0.30
E00057344,0.793650794,12.70,11.86,2.78,0.00,1.59,0.40
E00057345,10.08403361,15.14,6.19,0.40,0.00,13.45,2.79
E00057346,19.25925926,10.68,8.89,0.89,0.00,5.19,0.89
E00057347,17.47572816,10.04,11.21,0.74,0.00,10.68,1.86
E00057348,11.96581197,7.11,5.93,0.00,0.00,9.40,2.22
E00057349,1.351351351,10.63,9.52,1.88,0.00,0.00,0.94
E00057350,3.092783505,2.49,7.96,0.83,0.00,4.12,0.00
E00057351,7.142857143,9.90,2.60,0.50,0.00,11.22,1.49
E00057352,5.109489051,7.72,8.76,0.62,0.62,1.46,1.54
E00057353,4.201680672,5.16,6.41,0.32,0.00,0.00,0.00
E00057354,2.727272727,5.69,10.37,1.07,0.00,0.00,0.00
E00057355,2.586206897,8.70,13.79,0.00,0.00,2.59,0.00
E00057356,9.009009009,8.26,9.78,0.87,0.00,6.31,0.00
E00057357,13.23529412,8.71,5.83,0.00,0.00,11.03,2.44
E00057358,4.395604396,3.77,10.71,0.00,0.00,3.30,1.89
E00057359,1.020408163,3.25,4.92,0.41,0.00,2.04,0.00
E00057360,0.67114094,7.40,5.19,0.59,0.00,0.00,0.89
E00057361,2.542372881,2.88,7.26,0.29,0.00,0.85,4.61
E00057362,3.488372093,5.00,7.77,1.50,0.00,0.00,0.00
E00057363,6.428571429,21.76,6.12,1.85,0.00,7.14,1.85
E00057364,5.737704918,12.70,9.68,1.59,0.00,8.20,1.06
E00057365,2,6.82,8.33,1.82,0.00,0.00,0.91
E00057366,0.787401575,12.23,7.89,2.18,0.00,0.79,0.00
E00057367,2.678571429,6.30,6.82,0.00,0.00,1.79,1.48
E00057368,5.128205128,16.35,11.11,4.81,0.00,18.80,3.37
E00057369,0.877192982,15.79,6.45,2.39,0.00,0.88,0.00
E00057370,10.34482759,11.45,2.99,0.67,0.00,12.41,0.67
E00057371,8.474576271,7.76,8.16,0.86,0.00,6.78,2.16
E00057372,3.125,6.42,5.30,1.35,0.00,0.00,1.01
E00057374,6.766917293,6.80,6.06,0.00,0.00,3.01,0.34
E00057375,1.428571429,4.88,9.09,0.00,0.00,2.86,0.61
E00057376,1.550387597,9.76,5.97,2.02,0.00,3.10,2.69
E00057377,8.333333333,9.56,7.58,2.73,0.00,7.58,0.34
E00057378,1.587301587,7.17,7.69,1.63,0.00,1.59,0.00
E00057379,7.092198582,4.12,7.88,0.00,0.00,1.42,0.82
E00057380,4.201680672,4.32,6.55,0.31,0.00,1.68,1.23
E00057382,0.787401575,4.51,2.03,0.35,0.00,3.94,0.35
E00057383,14.65517241,13.03,4.67,0.42,0.00,3.45,0.00
E00057384,6.25,4.69,6.20,0.00,0.00,0.00,0.72
E00057385,0.740740741,20.35,2.63,2.60,0.00,3.70,0.87
E00057386,2.521008403,8.65,9.38,0.75,0.00,0.84,0.00
E00057387,5.405405405,10.11,4.31,1.60,0.00,4.50,1.60
E00057388,4.032258065,10.36,4.92,3.11,0.00,0.00,1.04
E00057389,9.677419355,8.39,12.23,0.00,0.00,11.29,1.05
E00057390,6.52173913,6.21,4.62,0.00,0.00,2.90,1.86
E00057391,6.557377049,11.70,10.29,0.38,0.00,5.74,0.38
E00057392,5.982905983,7.80,8.40,1.69,0.00,7.69,2.71
E00057393,5.185185185,8.97,1.61,0.33,0.00,2.22,1.99
E00057394,8.088235294,9.09,5.74,1.75,0.00,8.82,2.45
E00057395,0.8,12.21,5.60,1.15,0.00,1.60,0.00
E00057396,3.731343284,5.23,9.72,0.31,0.00,1.49,0.31
E00057397,4.8,5.65,6.59,1.66,0.00,0.80,0.00
E00057398,10.83333333,5.69,9.35,0.36,0.00,6.67,1.42
E00057399,2.631578947,3.70,3.21,1.32,0.00,2.63,0.79
E00057400,1.379310345,6.86,4.49,0.57,0.00,2.07,0.57
E00057401,3.973509934,3.67,5.66,1.53,0.00,0.66,0.92
E00057402,15.95744681,5.88,13.04,0.00,0.00,10.64,0.45
E00057403,3.669724771,4.58,10.84,0.00,0.00,4.59,0.65
E00057404,3.50877193,22.10,4.84,7.73,0.00,3.51,0.00
E00057405,9.448818898,10.53,7.64,0.33,0.00,4.72,0.33
E00057406,1.408450704,11.52,6.11,3.14,6.81,0.00,1.05
E00057407,21.69811321,6.38,2.94,0.00,0.00,5.66,0.43
E00057408,11.11111111,4.42,8.42,0.00,0.00,2.38,0.00
E00057409,7.142857143,4.61,9.52,0.27,0.00,0.71,0.54
E00057410,2.4,4.45,8.86,0.00,0.00,0.00,0.00
E00057411,5.185185185,9.77,7.11,4.26,9.27,2.96,0.25
E00057412,10.08403361,4.50,8.78,0.00,0.00,5.04,0.00
E00057413,10.94890511,5.07,5.85,0.00,0.00,5.84,1.69
E00057414,3.875968992,2.49,8.65,0.31,0.00,3.10,0.00
E00057415,3.418803419,23.66,4.69,0.89,0.00,0.85,0.00
E00057416,4.032258065,5.86,6.75,0.65,0.00,2.42,0.33
E00057417,5.46875,4.06,6.25,0.00,0.00,0.00,0.29
E00057418,0,3.35,11.11,0.00,0.00,0.73,0.00
E00057419,2.564102564,5.59,7.89,0.70,0.00,0.85,0.35
E00057420,2.962962963,5.90,8.50,0.31,0.00,0.00,0.00
E00057421,5.64516129,10.29,12.84,2.35,6.18,0.81,0.00
E00057422,4.132231405,4.36,7.53,0.00,0.00,0.00,0.93
E00057423,6.153846154,5.62,8.76,0.00,0.00,0.77,0.00
E00057424,2.5,8.19,11.43,1.07,0.00,2.50,0.00
E00057425,2.362204724,13.17,14.58,0.63,0.00,1.57,0.00
E00057426,2.702702703,13.18,11.11,1.93,0.00,2.70,0.00
E00057427,7.692307692,7.87,3.88,0.00,0.00,2.88,0.00
E00057428,5.102040816,14.44,11.36,2.96,6.67,1.02,0.00
E00057429,15.05376344,12.11,6.09,0.45,0.00,3.23,0.00
E00057430,11.66666667,4.64,6.92,0.00,0.00,4.17,0.33
E00057431,5.917159763,6.56,10.00,0.00,0.00,5.33,0.00
E00057432,6.779661017,3.90,8.59,0.00,0.00,0.00,0.00
E00057433,6.363636364,4.59,10.63,0.35,0.00,0.91,0.00
E00057434,3.25203252,10.42,12.14,0.35,0.00,2.44,0.69
E00057435,11.47540984,13.93,6.73,1.23,0.00,4.92,0.00
E00057436,8,16.23,4.35,2.19,0.00,3.00,0.00
E00057437,5.882352941,6.47,8.11,0.36,0.00,4.20,0.72
E00057438,10.92436975,5.45,7.25,0.00,0.00,1.68,0.30
E00057439,4.195804196,20.70,8.91,6.17,0.00,13.99,0.00
E00057440,7.547169811,6.91,10.71,0.41,0.00,1.89,0.00
E00057441,4.379562044,5.51,8.56,1.10,0.00,1.46,1.38
E00057442,6.086956522,10.19,7.83,0.38,1.51,2.61,0.38
E00057443,6.363636364,4.15,8.76,0.00,0.00,1.82,0.41
E00057444,9.677419355,4.70,9.70,0.00,0.00,1.61,0.00
E00057445,6.140350877,4.55,9.26,0.35,0.00,0.88,0.00
E00057446,4.87804878,2.03,7.50,0.29,0.00,2.44,0.58
E00057447,5.128205128,7.95,9.62,0.33,0.00,3.42,0.00
E00057448,10.48951049,8.75,9.76,1.25,0.00,2.10,0.31
E00057449,3.174603175,10.49,7.83,2.62,0.00,2.38,0.00
E00057450,9.923664122,7.36,10.97,0.61,0.00,5.34,0.61
E00057451,8.928571429,2.96,7.56,0.00,0.00,2.68,0.00
E00057452,6.315789474,4.98,6.58,0.00,0.00,3.16,0.00
E00057453,0.819672131,19.00,12.20,5.73,13.26,3.28,0.00
E00057454,2.43902439,17.87,8.22,4.68,0.00,2.44,0.00
E00057455,4.032258065,14.33,7.80,4.00,6.00,2.42,0.00
E00057456,1.869158879,12.04,13.51,0.93,0.00,0.00,0.00
E00057457,3.603603604,13.43,4.76,1.39,0.00,1.80,0.00
E00057458,6.666666667,4.96,6.59,0.00,0.00,2.86,0.00
E00057459,2.898550725,11.76,7.53,0.33,0.00,3.62,0.33
E00057460,5.056179775,5.49,13.79,2.24,3.99,7.30,0.25
E00057461,3.47826087,12.96,16.50,1.62,0.00,0.87,0.00
E00057462,2.479338843,8.37,9.90,0.00,0.00,2.48,0.00
E00057463,7.627118644,3.91,9.62,0.00,0.00,0.00,0.00
E00057464,2.521008403,12.08,6.80,0.75,0.00,0.84,0.00
E00057465,3.787878788,6.75,9.38,0.32,0.00,0.76,0.00
E00057466,0,20.93,25.00,0.78,0.00,0.00,0.00
E00057467,3.225806452,10.64,4.10,0.71,3.90,4.03,0.00
E00057468,6.018518519,5.02,11.99,0.00,0.00,1.85,0.54
E00057469,5.555555556,10.60,8.51,0.71,0.00,0.79,0.00
E00057470,5.511811024,19.22,11.04,1.50,10.21,3.94,0.00
E00057471,5.607476636,13.69,7.76,1.24,0.00,2.80,0.00
E00057472,14.72868217,12.42,5.04,0.34,0.00,0.78,0.00
E00057473,3.797468354,6.59,11.35,0.55,0.00,1.27,0.00
E00057474,5.93220339,9.23,16.95,0.37,0.00,2.54,0.00
E00057475,1.526717557,13.84,6.45,1.38,0.00,0.00,0.00
E00057476,2.586206897,8.06,7.56,1.10,0.00,2.59,0.00
E00057477,6.4,16.38,11.20,1.37,0.00,6.40,0.68
E00057478,4.132231405,12.92,8.33,0.37,0.00,5.79,0.00
E00057479,4.587155963,26.67,6.45,1.54,0.00,7.34,0.00
E00057480,7.5,5.86,7.82,0.31,0.00,4.17,0.00
E00057481,6.617647059,17.52,7.21,1.82,0.00,7.35,0.73
E00057482,14.03508772,9.29,6.52,0.37,0.00,7.02,0.00
E00057483,7.936507937,10.44,12.73,1.35,0.00,1.59,0.34
E00057484,14.16666667,15.75,14.16,0.34,0.00,5.83,0.34
E00057485,3.03030303,5.12,11.25,1.02,0.34,3.79,0.00
E00057486,5.737704918,8.10,6.57,0.70,0.00,2.46,0.00
E00057487,3.100775194,8.23,9.43,0.00,0.00,2.33,0.00
E00057488,7.547169811,15.86,16.47,4.85,5.73,4.72,0.00
E00057489,3.603603604,7.32,14.16,0.41,0.00,0.90,0.00
E00057490,4.444444444,5.42,14.58,0.90,0.00,3.70,0.00
E00057491,2.34375,7.12,8.67,0.00,0.00,3.13,0.00
E00057492,5.426356589,7.34,7.43,0.00,0.00,9.30,1.05
E00057493,4.964539007,13.11,6.02,3.61,7.54,12.06,0.00
E00057494,1.639344262,3.61,9.68,0.36,0.00,11.48,0.00
E00057495,4.511278195,7.45,12.15,0.29,0.00,2.26,0.00
E00057496,17.98561151,5.22,12.64,0.00,0.00,4.32,0.00
E00057497,0.775193798,9.54,9.09,1.41,0.00,2.33,0.71
E00057498,2.013422819,8.97,18.54,0.82,0.00,4.70,1.09
E00057499,4.918032787,4.06,10.22,0.00,0.00,0.82,0.63
E00057500,0.909090909,17.51,20.78,1.38,0.00,0.00,0.46
E00057501,8.024691358,7.26,13.22,0.84,0.00,8.02,0.00
E00057502,7.258064516,3.56,8.51,0.00,0.00,3.23,0.97
E00057503,8.928571429,7.03,9.64,0.00,0.00,2.98,0.54
E00057504,6.040268456,7.61,7.88,1.04,0.00,4.03,0.00
E00057505,3.25203252,12.01,8.33,0.00,0.00,0.81,1.06
E00057506,7.37704918,7.85,16.78,0.34,0.00,1.64,2.05
E00057507,0.869565217,7.94,12.78,0.72,0.00,1.74,0.00
E00057508,4.672897196,3.92,9.22,0.78,0.00,0.00,0.39
E00057509,5.426356589,9.34,11.94,0.35,0.00,2.33,0.35
E00057510,1.785714286,14.92,10.71,0.81,0.00,1.79,0.00
E00057511,9.734513274,3.90,12.80,1.06,0.00,1.77,0.71
E00057512,5.217391304,9.29,9.55,1.43,0.00,0.00,0.00
E00057513,4.838709677,7.17,9.22,0.00,0.00,13.71,0.00
E00057514,8.333333333,5.08,9.77,1.69,0.00,8.33,0.00
E00057515,5.084745763,19.72,5.38,4.59,0.00,5.08,0.00
E00057516,3,9.63,12.73,0.92,0.00,3.00,0.00
E00057517,0,24.20,10.53,3.20,0.00,1.61,0.00
E00057518,6.611570248,7.93,9.79,0.34,0.00,1.65,1.03
E00057519,0,21.96,8.75,0.93,0.00,3.01,0.47
E00057520,10.43478261,6.78,9.32,0.34,0.00,0.00,0.00
E00057521,5.607476636,6.14,13.10,1.08,0.00,0.00,0.00
E00057522,5.405405405,4.78,11.83,0.96,1.59,0.00,0.64
E00057523,2.419354839,15.65,11.24,2.17,0.00,1.61,0.43
E00057524,0.819672131,8.46,12.06,0.37,0.00,2.46,0.00
E00057525,1.57480315,11.93,10.53,0.82,0.00,0.79,0.00
E00057526,7.534246575,7.63,10.67,0.56,0.00,4.79,0.00
E00057527,8.527131783,6.38,13.55,1.06,0.00,9.30,0.35
E00057528,3.389830508,5.20,8.14,0.31,0.00,1.69,0.61
E00057529,3.90625,4.55,11.73,0.00,0.00,3.13,0.00
E00057530,2.4,4.29,9.25,0.92,0.00,0.80,0.00
E00057531,2.173913043,7.00,12.96,0.00,2.33,2.90,0.67
E00057532,3.921568627,10.00,10.00,1.11,0.00,3.92,0.56
E00057533,4.651162791,9.83,7.53,0.34,0.00,0.78,0.68
E00057534,12.59259259,3.10,12.94,0.00,0.00,2.22,0.00
E00057535,4.958677686,2.45,14.63,0.61,0.00,1.65,0.00
E00057536,3.149606299,14.69,11.25,2.04,0.00,3.94,0.82
E00057537,2.752293578,5.90,11.04,1.04,0.00,1.83,0.00
E00057538,1.898734177,6.76,14.48,0.56,0.00,15.19,0.56
E00057539,2.777777778,9.66,15.25,1.68,0.00,0.93,0.00
E00057540,2.564102564,6.27,8.13,1.11,0.00,1.71,0.37
E00057541,0,10.20,13.59,1.22,0.00,0.82,0.00
E00057542,5.34351145,6.29,11.24,0.33,0.00,1.53,0.33
E00057543,2.75862069,6.67,12.43,0.29,0.00,2.76,0.29
E00057544,3.149606299,7.29,14.97,1.22,0.00,0.79,0.00
E00057545,4.347826087,14.73,13.08,0.45,0.00,0.87,0.45
